"Rank","Equity%","Price","Zestimate","EstSpread","Beds","Baths","SqFt","PPSF","Type","Address","ZillowURL"
"58","0%","255000","254600","-400","3","2","1467","174","House for sale","205 Oak Manor Dr, Columbia, SC 29229","https://www.zillow.com/homedetails/205-Oak-Manor-Dr-Columbia-SC-29229/11740272_zpid/"
"59","0%","230000","229600","-400","3","3","1318","175","House for sale","103 Village Way, Columbia, SC 29209","https://www.zillow.com/homedetails/103-Village-Way-Columbia-SC-29209/67597713_zpid/"
"60","0%","224000","223600","-400","3","1","1201","187","House for sale","3114 Park St, Columbia, SC 29201","https://www.zillow.com/homedetails/3114-Park-St-Columbia-SC-29201/11676556_zpid/"
"61","0%","274900","274400","-500","4","3","2235","123","House for sale","109 Kingston Trace Rd, Columbia, SC 29229","https://www.zillow.com/homedetails/109-Kingston-Trace-Rd-Columbia-SC-29229/62990822_zpid/"
"62","0%","204900","204500","-400","3","2","1490","138","House for sale","408 Thornfield Rd, Columbia, SC 29229","https://www.zillow.com/homedetails/408-Thornfield-Rd-Columbia-SC-29229/11731585_zpid/"
"63","0%","255000","254500","-500","4","2","1498","170","House for sale","1253 Mosser Dr, Columbia, SC 29203","https://www.zillow.com/homedetails/1253-Mosser-Dr-Columbia-SC-29203/440782170_zpid/"
"64","0%","164900","164500","-400","3","2","1254","131","House for sale","1826 Overhill Rd, Columbia, SC 29223","https://www.zillow.com/homedetails/1826-Overhill-Rd-Columbia-SC-29223/11720346_zpid/"
"65","0%","245000","244400","-600","3","3","1563","157","House for sale","420 Forest Grove Cir, Columbia, SC 29210","https://www.zillow.com/homedetails/420-Forest-Grove-Cir-Columbia-SC-29210/11196712_zpid/"
"66","0%","204000","203500","-500","3","2","1271","161","House for sale","314 Glenn Ave, Columbia, SC 29203","https://www.zillow.com/homedetails/314-Glenn-Ave-Columbia-SC-29203/11678256_zpid/"
"67","0%","200000","199500","-500","3","2","1300","154","House for sale","420 Pitchling Dr, Columbia, SC 29223","https://www.zillow.com/homedetails/420-Pitchling-Dr-Columbia-SC-29223/2073177538_zpid/"
